"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2025 года)"
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",25
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",244
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","9.293680297"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",304
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",41
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",418
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","8.932461874"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",599
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",110
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",760
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","12.64367816"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",202
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",17
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",264
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","6.049822064"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",14870
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1491
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",18822
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7.340127012"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1524
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",220
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1843
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","10.66408143"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",417
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",41
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",557
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","6.856187291"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",298
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",54
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",380
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","12.44239631"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",1755
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",163
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2138
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7.083876575"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",748
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",66
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",888
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","6.918238994"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",409
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",51
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",474
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","9.714285714"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",853
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",67
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1082
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5.831157528"
