"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2025 г.)"
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","10,50545094"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",288
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",23
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",373
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","5,808080808"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",627
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",72
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",811
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","8,154020385"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",699
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",105
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",844
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","11,06427819"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",108
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",12
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",130
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","8,450704225"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",143
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",9
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",200
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","4,306220096"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",280
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",61
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",376
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","13,95881007"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",90
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",4
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",134
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","2,898550725"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",6979
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",720
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8996
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,410456978"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",759
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",93
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",930
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9,090909091"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",180
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",12
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",270
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","4,255319149"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",149
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",18
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",207
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших",8
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",799
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",80
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",996
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,434944238"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",357
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",33
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",436
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7,036247335"
