"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-апрель 2024 г.)"
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",932
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","10,12536162"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",156
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",22
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",194
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","10,18518519"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",121
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",22
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",153
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","12,57142857"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",791
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",92
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",959
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","8,75356803"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",406
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",40
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",507
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7,31261426"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",191
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",23
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",272
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","7,796610169"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",382
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",30
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",477
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5,917159763"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",1062
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",67
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1327
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","4,806312769"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",304
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",54
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",397
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","11,97339246"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",417
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",45
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",596
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7,020280811"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",520
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",66
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",624
"56. Пермский край","3_1","Число погибших на 100 пострадавших","9,565217391"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",740
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",65
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1047
"57. Самарская область","3_1","Число погибших на 100 пострадавших","5,845323741"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",622
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",80
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",803
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","9,06002265"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",246
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",30
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",343
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","8,042895442"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",2971
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",276
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3858
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,676342525"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",177
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",24
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",208
"60. Курганская область","3_1","Число погибших на 100 пострадавших","10,34482759"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",728
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",89
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",929
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,742632613"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",1141
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",96
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1564
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,78313253"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",728
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",47
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",974
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,603330069"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",333
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",33
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",497
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6,226415094"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",80
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",16
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",93
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","14,67889908"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",925
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",67
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1157
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","5,473856209"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",4202
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",400
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5307
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,008936394"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",78
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",5
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",106
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","4,504504505"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",107
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",16
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",157
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","9,248554913"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",119
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",10
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",153
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","6,134969325"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",625
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",57
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",823
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6,477272727"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",727
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",65
