"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-октябрь 2024 г.)"
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",903
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9458
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8.715374964"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",864
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",94
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1121
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","7.736625514"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",633
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",71
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",839
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","7.802197802"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",850
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",168
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",962
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","14.86725664"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",2075
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",210
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2725
"80. Приморский край","3_1","Число погибших на 100 пострадавших","7.155025554"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",1064
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",124
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1279
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","8.838203849"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",326
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",31
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",405
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","7.110091743"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",968
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",106
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1302
