"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-февраль 2025 г.)"
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",381
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","10,56338028"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",27
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",4
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",37
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","9,756097561"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",190
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",40
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",269
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","12,94498382"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",89
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",9
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",121
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","6,923076923"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",129
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",8
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",196
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","3,921568627"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",62
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",14
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",82
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","14,58333333"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",24
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",7
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",30
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","18,91891892"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",1732
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",250
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2151
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","10,4123282"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",680
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",107
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",814
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","11,61780673"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",132
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",10
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",173
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","5,464480874"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",301
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",41
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",385
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","9,624413146"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",316
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",54
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",382
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","12,3853211"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",51
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",3
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",65
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","4,411764706"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",74
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",7
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",95
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","6,862745098"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",134
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",25
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",161
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","13,44086022"
