Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь-март 2024 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
89. г. Севастополь,3_1,"Количество лиц, погибших в результате ДТП",7
89. г. Севастополь,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",108
89. г. Севастополь,3_1,Число погибших на 100 пострадавших,"6,086956522"
Приволжский фед.округ,3_1,Количество ДТП с пострадавшими,4764
Приволжский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",526
Приволжский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",6281
Приволжский фед.округ,3_1,Число погибших на 100 пострадавших,"7,727339503"
46. Республика Башкортостан,3_1,Количество ДТП с пострадавшими,519
46. Республика Башкортостан,3_1,"Количество лиц, погибших в результате ДТП",69
46. Республика Башкортостан,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",654
46. Республика Башкортостан,3_1,Число погибших на 100 пострадавших,"9,543568465"
47. Республика Марий Эл,3_1,Количество ДТП с пострадавшими,117
47. Республика Марий Эл,3_1,"Количество лиц, погибших в результате ДТП",19
47. Республика Марий Эл,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",148
47. Республика Марий Эл,3_1,Число погибших на 100 пострадавших,"11,37724551"
48. Республика Мордовия,3_1,Количество ДТП с пострадавшими,83
48. Республика Мордовия,3_1,"Количество лиц, погибших в результате ДТП",16
48. Республика Мордовия,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",108
48. Республика Мордовия,3_1,Число погибших на 100 пострадавших,"12,90322581"
49. Республика Татарстан,3_1,Количество ДТП с пострадавшими,582
49. Республика Татарстан,3_1,"Количество лиц, погибших в результате ДТП",68
49. Республика Татарстан,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",729
49. Республика Татарстан,3_1,Число погибших на 100 пострадавших,"8,531994981"
50. Удмуртская Республика,3_1,Количество ДТП с пострадавшими,270
50. Удмуртская Республика,3_1,"Количество лиц, погибших в результате ДТП",25
50. Удмуртская Республика,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",359
50. Удмуртская Республика,3_1,Число погибших на 100 пострадавших,"6,510416667"
51. Чувашская Республика,3_1,Количество ДТП с пострадавшими,144
51. Чувашская Республика,3_1,"Количество лиц, погибших в результате ДТП",17
51. Чувашская Республика,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",210
51. Чувашская Республика,3_1,Число погибших на 100 пострадавших,"7,488986784"
52. Кировская область,3_1,Количество ДТП с пострадавшими,282
52. Кировская область,3_1,"Количество лиц, погибших в результате ДТП",23
52. Кировская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",357
52. Кировская область,3_1,Число погибших на 100 пострадавших,"6,052631579"
53. Нижегородская область,3_1,Количество ДТП с пострадавшими,738
53. Нижегородская область,3_1,"Количество лиц, погибших в результате ДТП",47
53. Нижегородская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",945
53. Нижегородская область,3_1,Число погибших на 100 пострадавших,"4,737903226"
54. Оренбургская область,3_1,Количество ДТП с пострадавшими,200
54. Оренбургская область,3_1,"Количество лиц, погибших в результате ДТП",41
54. Оренбургская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",271
54. Оренбургская область,3_1,Число погибших на 100 пострадавших,"13,14102564"
55. Пензенская область,3_1,Количество ДТП с пострадавшими,307
55. Пензенская область,3_1,"Количество лиц, погибших в результате ДТП",37
55. Пензенская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",450
55. Пензенская область,3_1,Число погибших на 100 пострадавших,"7,597535934"
56. Пермский край,3_1,Количество ДТП с пострадавшими,374
56. Пермский край,3_1,"Количество лиц, погибших в результате ДТП",42
56. Пермский край,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",463
56. Пермский край,3_1,Число погибших на 100 пострадавших,"8,316831683"
57. Самарская область,3_1,Количество ДТП с пострадавшими,540
57. Самарская область,3_1,"Количество лиц, погибших в результате ДТП",46
57. Самарская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",783
57. Самарская область,3_1,Число погибших на 100 пострадавших,"5,548854041"
58. Саратовская область,3_1,Количество ДТП с пострадавшими,421
58. Саратовская область,3_1,"Количество лиц, погибших в результате ДТП",53
58. Саратовская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",544
58. Саратовская область,3_1,Число погибших на 100 пострадавших,"8,877721943"
59. Ульяновская область,3_1,Количество ДТП с пострадавшими,187
59. Ульяновская область,3_1,"Количество лиц, погибших в результате ДТП",23
59. Ульяновская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",260
59. Ульяновская область,3_1,Число погибших на 100 пострадавших,"8,127208481"
Уральский фед.округ,3_1,Количество ДТП с пострадавшими,2196
Уральский фед.округ,3_1,"Количество лиц, погибших в результате ДТП",219
Уральский фед.округ,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",2929
Уральский фед.округ,3_1,Число погибших на 100 пострадавших,"6,956797967"
60. Курганская область,3_1,Количество ДТП с пострадавшими,129
60. Курганская область,3_1,"Количество лиц, погибших в результате ДТП",18
60. Курганская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",160
60. Курганская область,3_1,Число погибших на 100 пострадавших,"10,11235955"
61. Свердловская область,3_1,Количество ДТП с пострадавшими,510
61. Свердловская область,3_1,"Количество лиц, погибших в результате ДТП",66
61. Свердловская область,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",673
61. Свердловская область,3_1,Число погибших на 100 пострадавших,"8,930987821"
62. Тюменская область (с а/о),3_1,Количество ДТП с пострадавшими,892
62. Тюменская область (с а/о),3_1,"Количество лиц, погибших в результате ДТП",83
62. Тюменская область (с а/о),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",1250
62. Тюменская область (с а/о),3_1,Число погибших на 100 пострадавших,"6,226556639"
63.   Тюменская обл. (без а/о),3_1,Количество ДТП с пострадавшими,546
63.   Тюменская обл. (без а/о),3_1,"Количество лиц, погибших в результате ДТП",38
63.   Тюменская обл. (без а/о),3_1,"Количество лиц, получивших ранения в результате совершения ДТП",751
63.   Тюменская обл. (без а/о),3_1,Число погибших на 100 пострадавших,"4,816223067"
64.   Ханты-Мансийский АО - Югра,3_1,Количество ДТП с пострадавшими,284
64.   Ханты-Мансийский АО - Югра,3_1,"Количество лиц, погибших в результате ДТП",30
64.   Ханты-Мансийский АО - Югра,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",425
64.   Ханты-Мансийский АО - Югра,3_1,Число погибших на 100 пострадавших,"6,593406593"
65.   Ямало-Ненецкий АО,3_1,Количество ДТП с пострадавшими,62
65.   Ямало-Ненецкий АО,3_1,"Количество лиц, погибших в результате ДТП",15
65.   Ямало-Ненецкий АО,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",74
