"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2024 г.)"
"Омская область","3_1","Число погибших на 100 пострадавших","4,242664552"
"Томская область","3_1","Количество ДТП с пострадавшими",320
"Томская область","3_1","Количество лиц, погибших в результате ДТП",45
"Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",364
"Томская область","3_1","Число погибших на 100 пострадавших","11,00244499"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",6631
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",784
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8460
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,48117698"
"Республика Бурятия","3_1","Количество ДТП с пострадавшими",773
"Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",80
"Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1000
"Республика Бурятия","3_1","Число погибших на 100 пострадавших","7,407407407"
"Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",565
"Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",68
"Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",753
"Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","8,282582217"
"Забайкальский край","3_1","Количество ДТП с пострадавшими",752
"Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",149
"Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",830
"Забайкальский край","3_1","Число погибших на 100 пострадавших","15,21961185"
"Приморский край","3_1","Количество ДТП с пострадавшими",1847
"Приморский край","3_1","Количество лиц, погибших в результате ДТП",178
"Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2438
"Приморский край","3_1","Число погибших на 100 пострадавших","6,804281346"
"Хабаровский край","3_1","Количество ДТП с пострадавшими",959
"Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",109
"Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1165
"Хабаровский край","3_1","Число погибших на 100 пострадавших","8,555729984"
"Камчатский край","3_1","Количество ДТП с пострадавшими",293
"Камчатский край","3_1","Количество лиц, погибших в результате ДТП",26
"Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",367
"Камчатский край","3_1","Число погибших на 100 пострадавших","6,615776081"
"Амурская область","3_1","Количество ДТП с пострадавшими",866
"Амурская область","3_1","Количество лиц, погибших в результате ДТП",91
"Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1173
"Амурская область","3_1","Число погибших на 100 пострадавших","7,199367089"
"Магаданская область","3_1","Количество ДТП с пострадавшими",125
"Магаданская область","3_1","Количество лиц, погибших в результате ДТП",17
"Магаданская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",163
"Магаданская область","3_1","Число погибших на 100 пострадавших","9,444444444"
"Сахалинская область","3_1","Количество ДТП с пострадавшими",275
"Сахалинская область","3_1","Количество лиц, погибших в результате ДТП",49
"Сахалинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",344
"Сахалинская область","3_1","Число погибших на 100 пострадавших","12,46819338"
"Еврейская АО","3_1","Количество ДТП с пострадавшими",165
"Еврейская АО","3_1","Количество лиц, погибших в результате ДТП",16
"Еврейская АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",211
"Еврейская АО","3_1","Число погибших на 100 пострадавших","7,04845815"
"Чукотский АО","3_1","Количество ДТП с пострадавшими",11
