"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2024 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Северо-Кавказский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",8593
"Северо-Кавказский фед.округ","3_1","Число погибших на 100 пострадавших","10,79622132"
"Северо-Кавказский фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,14526953"
"Северо-Кавказский фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","3,22688041"
"32. Ставропольский край","3_1","Количество ДТП с пострадавшими",2559
"32. Ставропольский край","3_1","Количество лиц, погибших в результате ДТП",344
"32. Ставропольский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3211
"32. Ставропольский край","3_1","Число погибших на 100 пострадавших","9,676511955"
"32. Ставропольский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,91916588"
"32. Ставропольский край","3_1","Число погибших на 10 тыс. транспортных средств","3,518789209"
"33. Республика Ингушетия","3_1","Количество ДТП с пострадавшими",203
"33. Республика Ингушетия","3_1","Количество лиц, погибших в результате ДТП",62
"33. Республика Ингушетия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",317
"33. Республика Ингушетия","3_1","Число погибших на 100 пострадавших","16,35883905"
"33. Республика Ингушетия","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,75979667"
"33. Республика Ингушетия","3_1","Число погибших на 10 тыс. транспортных средств","5,299371768"
"34. Республика Дагестан","3_1","Количество ДТП с пострадавшими",1648
"34. Республика Дагестан","3_1","Количество лиц, погибших в результате ДТП",310
"34. Республика Дагестан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2360
"34. Республика Дагестан","3_1","Число погибших на 100 пострадавших","11,61048689"
"34. Республика Дагестан","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,590919441"
"34. Республика Дагестан","3_1","Число погибших на 10 тыс. транспортных средств","3,423549381"
"35. Кабардино-Балкарская Респ.","3_1","Количество ДТП с пострадавшими",666
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, погибших в результате ДТП",134
"35. Кабардино-Балкарская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",769
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 100 пострадавших","14,83942414"
"35. Кабардино-Балкарская Респ.","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","14,79904226"
"35. Кабардино-Балкарская Респ.","3_1","Число погибших на 10 тыс. транспортных средств","4,107405591"
"36. Респ. Сев.Осетия - Алания","3_1","Количество ДТП с пострадавшими",918
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, погибших в результате ДТП",84
"36. Респ. Сев.Осетия - Алания","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1300
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 100 пострадавших","6,069364162"
"36. Респ. Сев.Осетия - Алания","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,37333899"
"36. Респ. Сев.Осетия - Алания","3_1","Число погибших на 10 тыс. транспортных средств","2,82797813"
"37. Карачаево-Черкесская Респ.","3_1","Количество ДТП с пострадавшими",339
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, погибших в результате ДТП",63
"37. Карачаево-Черкесская Респ.","3_1","Количество лиц, получивших ранения в результате совершения ДТП",397
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 100 пострадавших","13,69565217"
"37. Карачаево-Черкесская Респ.","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,45228283"
"37. Карачаево-Черкесская Респ.","3_1","Число погибших на 10 тыс. транспортных средств","4,772257278"
"38. Чеченская Республика","3_1","Количество ДТП с пострадавшими",162
"38. Чеченская Республика","3_1","Количество лиц, погибших в результате ДТП",43
"38. Чеченская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",239
"38. Чеченская Республика","3_1","Число погибших на 100 пострадавших","15,24822695"
"38. Чеченская Республика","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","2,769073442"
"38. Чеченская Республика","3_1","Число погибших на 10 тыс. транспортных средств","0,919697569"
"39. Южный фед.округ","3_1","Количество ДТП с пострадавшими",15199
"39. Южный фед.округ","3_1","Количество лиц, погибших в результате ДТП",2039
"39. Южный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",18816
"39. Южный фед.округ","3_1","Число погибших на 100 пострадавших","9,777031887"
"39. Южный фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,26533966"
"39. Южный фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","2,963716207"
"40. Краснодарский край","3_1","Количество ДТП с пострадавшими",6149
"40. Краснодарский край","3_1","Количество лиц, погибших в результате ДТП",787
"40. Краснодарский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7565
"40. Краснодарский край","3_1","Число погибших на 100 пострадавших","9,42289272"
"40. Краснодарский край","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","13,49219493"
"40. Краснодарский край","3_1","Число погибших на 10 тыс. транспортных средств","3,437777108"
"41. Астраханская область","3_1","Количество ДТП с пострадавшими",935
"41. Астраханская область","3_1","Количество лиц, погибших в результате ДТП",78
"41. Астраханская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1159
"41. Астраханская область","3_1","Число погибших на 100 пострадавших","6,305578011"
"41. Астраханская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","8,241505702"
"41. Астраханская область","3_1","Число погибших на 10 тыс. транспортных средств","2,146566457"
"42. Волгоградская область","3_1","Количество ДТП с пострадавшими",2443
"42. Волгоградская область","3_1","Количество лиц, погибших в результате ДТП",258
"42. Волгоградская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3174
"42. Волгоградская область","3_1","Число погибших на 100 пострадавших","7,517482517"
"42. Волгоградская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,51388444"
"42. Волгоградская область","3_1","Число погибших на 10 тыс. транспортных средств","2,032534736"
"43. Ростовская область","3_1","Количество ДТП с пострадавшими",2894
"43. Ростовская область","3_1","Количество лиц, погибших в результате ДТП",500
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3448
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","12,66464032"
"43. Ростовская область","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,040887"
"43. Ростовская область","3_1","Число погибших на 10 тыс. транспортных средств","2,777668214"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",442
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",80
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",510
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","13,55932203"
"44. Республика Адыгея","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","15,98111033"
"44. Республика Адыгея","3_1","Число погибших на 10 тыс. транспортных средств","3,185245941"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",598
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",98
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",862
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","10,20833333"
"45. Республика Калмыкия","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","36,73576489"
"45. Республика Калмыкия","3_1","Число погибших на 10 тыс. транспортных средств","7,8086405"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",1300
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",215
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1571
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","12,03807391"
"88. Республика Крым","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,25949791"
"88. Республика Крым","3_1","Число погибших на 10 тыс. транспортных средств","3,577894933"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",438
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",23
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",527
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","4,181818182"
"89. г. Севастополь","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","4,097090353"
"89. г. Севастополь","3_1","Число погибших на 10 тыс. транспортных средств","1,276069263"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",27231
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",2923
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",34448
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,821572877"
"Приволжский фед.округ","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,24146738"
"Приволжский фед.округ","3_1","Число погибших на 10 тыс. транспортных средств","2,289008865"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",2947
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",399
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3588
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","10,00752445"
"46. Республика Башкортостан","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","9,81704135"
"46. Республика Башкортостан","3_1","Число погибших на 10 тыс. транспортных средств","1,916054714"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",741
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",86
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",991
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","7,985143918"
"47. Республика Марий Эл","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","12,83861856"
"47. Республика Марий Эл","3_1","Число погибших на 10 тыс. транспортных средств","3,568272251"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",611
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",89
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",770
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","10,36088475"
"48. Республика Мордовия","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","11,62045252"
"48. Республика Мордовия","3_1","Число погибших на 10 тыс. транспортных средств","2,699702123"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",3258
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",320
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3991
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,422871723"
"49. Республика Татарстан","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","7,993972545"
"49. Республика Татарстан","3_1","Число погибших на 10 тыс. транспортных средств","2,206829586"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",1379
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",152
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1642
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","8,472686734"
"50. Удмуртская Республика","3_1","Смертность населения в ДТП в расчете на 100 тыс. человек населения","10,59560547"
