"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-ноябрь 2024 года)"
"43. Ростовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3102
"43. Ростовская область","3_1","Число погибших на 100 пострадавших","12.71806415"
"44. Республика Адыгея","3_1","Количество ДТП с пострадавшими",404
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",73
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",462
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","13.64485981"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",539
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",95
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",775
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","10.91954023"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",1154
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",186
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1396
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","11.75726928"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",408
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",21
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",490
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","4.109589041"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",24829
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",2640
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",31328
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7.772020725"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",2675
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",359
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3270
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9.892532378"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",683
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",81
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",904
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","8.223350254"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",557
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",80
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",703
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","10.21711367"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",2960
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",288
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3610
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","7.38840431"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",1258
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",131
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1496
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","8.051628765"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",724
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",91
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",925
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","8.956692913"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",1477
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",114
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1829
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5.867215646"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",4226
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",304
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5309
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","5.415998575"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",1108
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",210
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1399
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","13.05158484"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",1457
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",168
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1976
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","7.835820896"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",1830
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",203
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2279
"56. Пермский край","3_1","Число погибших на 100 пострадавших","8.178887994"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",2752
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",287
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3527
"57. Самарская область","3_1","Число погибших на 100 пострадавших","7.524908233"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",2288
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",238
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2966
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","7.428214732"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",834
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",86
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1135
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","7.043407043"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",10332
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",988
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",13023
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","7.051602312"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",714
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",96
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",864
"60. Курганская область","3_1","Число погибших на 100 пострадавших",10
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",2496
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",300
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3078
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8.880994671"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",3964
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",283
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",5210
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5.152011651"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",2646
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",159
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3430
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4.430203399"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",1043
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",96
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1466
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","6.145966709"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",275
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",28
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",314
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","8.187134503"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",3158
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",309
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3871
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","7.392344498"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",15603
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1598
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",19525
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7.565213275"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",336
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",39
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",425
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","8.405172414"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",470
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",88
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",659
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","11.78045515"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",458
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",45
"70. Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",572
"70. Республика Хакасия","3_1","Число погибших на 100 пострадавших","7.293354943"
"71. Алтайский край","3_1","Количество ДТП с пострадавшими",2036
"71. Алтайский край","3_1","Количество лиц, погибших в результате ДТП",194
"71. Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2680
"71. Алтайский край","3_1","Число погибших на 100 пострадавших","6.750173974"
"72. Красноярский край","3_1","Количество ДТП с пострадавшими",2886
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",269
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3462
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","7.209863307"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",2047
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",265
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2516
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9.528946422"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",2156
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",260
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2771
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8.578027054"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",2448
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",237
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2962
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","7.408565177"
"76. Омская область","3_1","Количество ДТП с пострадавшими",2358
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",139
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3024
"76. Омская область","3_1","Число погибших на 100 пострадавших","4.394562125"
"77. Томская область","3_1","Количество ДТП с пострадавшими",408
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",62
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",454
"77. Томская область","3_1","Число погибших на 100 пострадавших","12.01550388"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",8165
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",981
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",10392
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8.625692429"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",967
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",106
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1268
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","7.714701601"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",681
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",72
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",907
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","7.354443309"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",909
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",186
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1021
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","15.41010771"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",2250
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",226
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2955
"80. Приморский край","3_1","Число погибших на 100 пострадавших","7.104684062"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",1197
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",132
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1441
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","8.391608392"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",375
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",35
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",467
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","6.972111554"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",1063
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",120
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1423
