Субъект,Пункт ФПСР,Наименование статистического показателя,Значение статистического показателя (за январь - июнь 2023 г.)
Subject,Point FPSR,Name of the statistical factor,Importance of the statistical factor
Еврейская АО,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",123
Еврейская АО,3_1,Число погибших на 100 пострадавших,"9,558823529"
Чукотский АО,3_1,Количество ДТП с пострадавшими,7
Чукотский АО,3_1,"Количество лиц, погибших в результате ДТП",0
Чукотский АО,3_1,"Количество лиц, получивших ранения в результате совершения ДТП",12
Чукотский АО,3_1,Число погибших на 100 пострадавших,0
"ФТ ""Сириус""",3_1,Количество ДТП с пострадавшими,20
"ФТ ""Сириус""",3_1,"Количество лиц, погибших в результате ДТП",2
"ФТ ""Сириус""",3_1,"Количество лиц, получивших ранения в результате совершения ДТП",22
"ФТ ""Сириус""",3_1,Число погибших на 100 пострадавших,"8,333333333"
Всего по России ,3_1,Количество ДТП с пострадавшими,56288
