"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - август 2024 г.)"
"Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",61
"Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",538
"Республика Калмыкия","3_1","Число погибших на 100 пострадавших","10,1836394"
"Республика Крым","3_1","Количество ДТП с пострадавшими",817
"Республика Крым","3_1","Количество лиц, погибших в результате ДТП",121
"Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",988
"Республика Крым","3_1","Число погибших на 100 пострадавших","10,91073039"
"г. Севастополь","3_1","Количество ДТП с пострадавшими",296
"г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",20
"г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",362
"г. Севастополь","3_1","Число погибших на 100 пострадавших","5,235602094"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",17058
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1734
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",21680
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,405825574"
"Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1857
"Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",242
"Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2280
"Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9,59555908"
"Республика Марий Эл","3_1","Количество ДТП с пострадавшими",456
"Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",56
"Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",584
"Республика Марий Эл","3_1","Число погибших на 100 пострадавших","8,75"
"Республика Мордовия","3_1","Количество ДТП с пострадавшими",376
"Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",46
"Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",493
"Республика Мордовия","3_1","Число погибших на 100 пострадавших","8,53432282"
"Республика Татарстан","3_1","Количество ДТП с пострадавшими",2002
"Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",192
"Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2445
"Республика Татарстан","3_1","Число погибших на 100 пострадавших","7,281001138"
"Удмуртская Республика","3_1","Количество ДТП с пострадавшими",876
"Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",82
"Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1081
"Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7,050730868"
"Чувашская Республика","3_1","Количество ДТП с пострадавшими",504
"Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",63
"Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",650
"Чувашская Республика","3_1","Число погибших на 100 пострадавших","8,835904628"
"Кировская область","3_1","Количество ДТП с пострадавшими",1049
"Кировская область","3_1","Количество лиц, погибших в результате ДТП",67
"Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1281
"Кировская область","3_1","Число погибших на 100 пострадавших","4,970326409"
"Нижегородская область","3_1","Количество ДТП с пострадавшими",2863
"Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",191
"Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3595
"Нижегородская область","3_1","Число погибших на 100 пострадавших","5,044902272"
"Оренбургская область","3_1","Количество ДТП с пострадавшими",796
"Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",141
"Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1027
"Оренбургская область","3_1","Число погибших на 100 пострадавших","12,07191781"
"Пензенская область","3_1","Количество ДТП с пострадавшими",1029
"Пензенская область","3_1","Количество лиц, погибших в результате ДТП",122
"Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1407
"Пензенская область","3_1","Число погибших на 100 пострадавших","7,979071288"
"Пермский край","3_1","Количество ДТП с пострадавшими",1252
"Пермский край","3_1","Количество лиц, погибших в результате ДТП",127
"Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1552
"Пермский край","3_1","Число погибших на 100 пострадавших","7,564026206"
"Самарская область","3_1","Количество ДТП с пострадавшими",1849
"Самарская область","3_1","Количество лиц, погибших в результате ДТП",180
"Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2455
"Самарская область","3_1","Число погибших на 100 пострадавших","6,831119545"
"Саратовская область","3_1","Количество ДТП с пострадавшими",1581
"Саратовская область","3_1","Количество лиц, погибших в результате ДТП",165
"Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2047
"Саратовская область","3_1","Число погибших на 100 пострадавших","7,459312839"
"Ульяновская область","3_1","Количество ДТП с пострадавшими",568
"Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",60
"Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",783
"Ульяновская область","3_1","Число погибших на 100 пострадавших","7,117437722"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",7230
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",662
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9172
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,731747"
"Курганская область","3_1","Количество ДТП с пострадавшими",491
"Курганская область","3_1","Количество лиц, погибших в результате ДТП",60
"Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",577
"Курганская область","3_1","Число погибших на 100 пострадавших","9,419152276"
"Свердловская область","3_1","Количество ДТП с пострадавшими",1780
"Свердловская область","3_1","Количество лиц, погибших в результате ДТП",202
"Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2207
"Свердловская область","3_1","Число погибших на 100 пострадавших","8,385222084"
"Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",2750
"Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",189
"Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3656
"Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","4,915474642"
"  Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",1893
"  Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",113
"  Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2472
"  Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,371373308"
"  Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",682
"  Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",54
"  Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",981
"  Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","5,217391304"
"  Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",175
"  Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",22
"  Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",203
"  Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","9,777777778"
"Челябинская область","3_1","Количество ДТП с пострадавшими",2209
"Челябинская область","3_1","Количество лиц, погибших в результате ДТП",211
"Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2732
"Челябинская область","3_1","Число погибших на 100 пострадавших","7,169554876"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",10797
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1079
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",13550
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,375760476"
"Республика Алтай","3_1","Количество ДТП с пострадавшими",237
"Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",27
"Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",318
"Республика Алтай","3_1","Число погибших на 100 пострадавших","7,826086957"
"Республика Тыва","3_1","Количество ДТП с пострадавшими",300
"Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",51
"Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",395
"Республика Тыва","3_1","Число погибших на 100 пострадавших","11,43497758"
"Республика Хакасия","3_1","Количество ДТП с пострадавшими",328
"Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",30
"Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",410
"Республика Хакасия","3_1","Число погибших на 100 пострадавших","6,818181818"
"Алтайский край","3_1","Количество ДТП с пострадавшими",1427
"Алтайский край","3_1","Количество лиц, погибших в результате ДТП",135
"Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1900
"Алтайский край","3_1","Число погибших на 100 пострадавших","6,633906634"
"Красноярский край","3_1","Количество ДТП с пострадавшими",2003
"Красноярский край","3_1","Количество лиц, погибших в результате ДТП",177
"Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2415
"Красноярский край","3_1","Число погибших на 100 пострадавших","6,828703704"
"Иркутская область","3_1","Количество ДТП с пострадавшими",1409
"Иркутская область","3_1","Количество лиц, погибших в результате ДТП",186
"Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1702
"Иркутская область","3_1","Число погибших на 100 пострадавших","9,851694915"
"Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",1496
"Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",183
"Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1962
"Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8,531468531"
"Новосибирская область","3_1","Количество ДТП с пострадавшими",1672
"Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",153
"Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2055
"Новосибирская область","3_1","Число погибших на 100 пострадавших","6,929347826"
"Омская область","3_1","Количество ДТП с пострадавшими",1640
"Омская область","3_1","Количество лиц, погибших в результате ДТП",95
"Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2070
"Омская область","3_1","Число погибших на 100 пострадавших","4,387990762"
"Томская область","3_1","Количество ДТП с пострадавшими",285
"Томская область","3_1","Количество лиц, погибших в результате ДТП",42
"Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",323
"Томская область","3_1","Число погибших на 100 пострадавших","11,50684932"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",5768
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",676
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",7340
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,433133733"
"Республика Бурятия","3_1","Количество ДТП с пострадавшими",667
"Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",71
"Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",863
"Республика Бурятия","3_1","Число погибших на 100 пострадавших","7,601713062"
"Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",507
"Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",57
"Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",657
"Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","7,983193277"
"Забайкальский край","3_1","Количество ДТП с пострадавшими",643
"Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",133
"Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",702
"Забайкальский край","3_1","Число погибших на 100 пострадавших","15,92814371"
"Приморский край","3_1","Количество ДТП с пострадавшими",1619
"Приморский край","3_1","Количество лиц, погибших в результате ДТП",151
"Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2130
"Приморский край","3_1","Число погибших на 100 пострадавших","6,619903551"
"Хабаровский край","3_1","Количество ДТП с пострадавшими",842
"Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",96
"Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1027
