"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-май 2025 г.)"
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",164
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","7,865168539"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",193
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",28
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",273
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","9,302325581"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",370
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",74
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",473
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","13,52833638"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",123
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",9
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",169
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","5,056179775"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",9484
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",938
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",12103
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,192699946"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1007
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",125
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1224
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","9,266123054"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",246
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",24
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",349
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","6,434316354"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",203
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",31
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",275
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","10,13071895"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",1119
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",97
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1398
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","6,488294314"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",486
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",40
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",594
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","6,309148265"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",232
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",31
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",274
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","10,16393443"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",527
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",48
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",680
"52. Кировская область","3_1","Число погибших на 100 пострадавших","6,593406593"
