"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июль 2024 г.)"
"72. Красноярский край","3_1","Количество лиц, погибших в результате ДТП",145
"72. Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1987
"72. Красноярский край","3_1","Число погибших на 100 пострадавших","6,801125704"
"73. Иркутская область","3_1","Количество ДТП с пострадавшими",1163
"73. Иркутская область","3_1","Количество лиц, погибших в результате ДТП",150
"73. Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1407
"73. Иркутская область","3_1","Число погибших на 100 пострадавших","9,633911368"
"74. Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",1207
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",151
"74. Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1611
"74. Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","8,569807037"
"75. Новосибирская область","3_1","Количество ДТП с пострадавшими",1364
"75. Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",119
"75. Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1675
"75. Новосибирская область","3_1","Число погибших на 100 пострадавших","6,633221851"
"76. Омская область","3_1","Количество ДТП с пострадавшими",1391
"76. Омская область","3_1","Количество лиц, погибших в результате ДТП",75
"76. Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1763
"76. Омская область","3_1","Число погибших на 100 пострадавших","4,080522307"
"77. Томская область","3_1","Количество ДТП с пострадавшими",241
"77. Томская область","3_1","Количество лиц, погибших в результате ДТП",34
"77. Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",273
"77. Томская область","3_1","Число погибших на 100 пострадавших","11,07491857"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",4795
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",576
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6068
"Дальневосточный фед.округ","3_1","Число погибших на 100 пострадавших","8,669476219"
"68. Республика Бурятия","3_1","Количество ДТП с пострадавшими",551
"68. Республика Бурятия","3_1","Количество лиц, погибших в результате ДТП",57
"68. Республика Бурятия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",715
"68. Республика Бурятия","3_1","Число погибших на 100 пострадавших","7,383419689"
"79. Республика Саха (Якутия)","3_1","Количество ДТП с пострадавшими",410
"79. Республика Саха (Якутия)","3_1","Количество лиц, погибших в результате ДТП",45
"79. Республика Саха (Якутия)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",532
"79. Республика Саха (Якутия)","3_1","Число погибших на 100 пострадавших","7,798960139"
"78. Забайкальский край","3_1","Количество ДТП с пострадавшими",540
"78. Забайкальский край","3_1","Количество лиц, погибших в результате ДТП",120
"78. Забайкальский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",577
"78. Забайкальский край","3_1","Число погибших на 100 пострадавших","17,21664275"
"80. Приморский край","3_1","Количество ДТП с пострадавшими",1339
"80. Приморский край","3_1","Количество лиц, погибших в результате ДТП",134
"80. Приморский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1745
"80. Приморский край","3_1","Число погибших на 100 пострадавших","7,1314529"
"81. Хабаровский край","3_1","Количество ДТП с пострадавшими",705
"81. Хабаровский край","3_1","Количество лиц, погибших в результате ДТП",82
"81. Хабаровский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",869
"81. Хабаровский край","3_1","Число погибших на 100 пострадавших","8,622502629"
"82. Камчатский край","3_1","Количество ДТП с пострадавшими",226
"82. Камчатский край","3_1","Количество лиц, погибших в результате ДТП",16
"82. Камчатский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",272
"82. Камчатский край","3_1","Число погибших на 100 пострадавших","5,555555556"
"83. Амурская область","3_1","Количество ДТП с пострадавшими",632
"83. Амурская область","3_1","Количество лиц, погибших в результате ДТП",58
"83. Амурская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",870
"83. Амурская область","3_1","Число погибших на 100 пострадавших","6,25"
