"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь-июнь 2024 г.)"
"44. Республика Адыгея","3_1","Количество лиц, погибших в результате ДТП",43
"44. Республика Адыгея","3_1","Количество лиц, получивших ранения в результате совершения ДТП",205
"44. Республика Адыгея","3_1","Число погибших на 100 пострадавших","17,33870968"
"45. Республика Калмыкия","3_1","Количество ДТП с пострадавшими",262
"45. Республика Калмыкия","3_1","Количество лиц, погибших в результате ДТП",39
"45. Республика Калмыкия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",363
"45. Республика Калмыкия","3_1","Число погибших на 100 пострадавших","9,701492537"
"88. Республика Крым","3_1","Количество ДТП с пострадавшими",544
"88. Республика Крым","3_1","Количество лиц, погибших в результате ДТП",72
"88. Республика Крым","3_1","Количество лиц, получивших ранения в результате совершения ДТП",640
"88. Республика Крым","3_1","Число погибших на 100 пострадавших","10,11235955"
"89. г. Севастополь","3_1","Количество ДТП с пострадавшими",217
"89. г. Севастополь","3_1","Количество лиц, погибших в результате ДТП",16
"89. г. Севастополь","3_1","Количество лиц, получивших ранения в результате совершения ДТП",266
"89. г. Севастополь","3_1","Число погибших на 100 пострадавших","5,673758865"
"Приволжский фед.округ","3_1","Количество ДТП с пострадавшими",11463
"Приволжский фед.округ","3_1","Количество лиц, погибших в результате ДТП",1190
"Приволжский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",14573
"Приволжский фед.округ","3_1","Число погибших на 100 пострадавших","7,549324367"
"46. Республика Башкортостан","3_1","Количество ДТП с пострадавшими",1265
"46. Республика Башкортостан","3_1","Количество лиц, погибших в результате ДТП",172
"46. Республика Башкортостан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1545
"46. Республика Башкортостан","3_1","Число погибших на 100 пострадавших","10,01747234"
"47. Республика Марий Эл","3_1","Количество ДТП с пострадавшими",293
"47. Республика Марий Эл","3_1","Количество лиц, погибших в результате ДТП",37
"47. Республика Марий Эл","3_1","Количество лиц, получивших ранения в результате совершения ДТП",371
"47. Республика Марий Эл","3_1","Число погибших на 100 пострадавших","9,068627451"
"48. Республика Мордовия","3_1","Количество ДТП с пострадавшими",239
"48. Республика Мордовия","3_1","Количество лиц, погибших в результате ДТП",34
"48. Республика Мордовия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",318
"48. Республика Мордовия","3_1","Число погибших на 100 пострадавших","9,659090909"
"49. Республика Татарстан","3_1","Количество ДТП с пострадавшими",1347
"49. Республика Татарстан","3_1","Количество лиц, погибших в результате ДТП",146
"49. Республика Татарстан","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1656
"49. Республика Татарстан","3_1","Число погибших на 100 пострадавших","8,102108768"
"50. Удмуртская Республика","3_1","Количество ДТП с пострадавшими",590
"50. Удмуртская Республика","3_1","Количество лиц, погибших в результате ДТП",58
"50. Удмуртская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",717
"50. Удмуртская Республика","3_1","Число погибших на 100 пострадавших","7,483870968"
"51. Чувашская Республика","3_1","Количество ДТП с пострадавшими",333
"51. Чувашская Республика","3_1","Количество лиц, погибших в результате ДТП",40
"51. Чувашская Республика","3_1","Количество лиц, получивших ранения в результате совершения ДТП",449
"51. Чувашская Республика","3_1","Число погибших на 100 пострадавших","8,1799591"
"52. Кировская область","3_1","Количество ДТП с пострадавшими",700
"52. Кировская область","3_1","Количество лиц, погибших в результате ДТП",47
"52. Кировская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",851
"52. Кировская область","3_1","Число погибших на 100 пострадавших","5,233853007"
"53. Нижегородская область","3_1","Количество ДТП с пострадавшими",1900
"53. Нижегородская область","3_1","Количество лиц, погибших в результате ДТП",111
"53. Нижегородская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2342
"53. Нижегородская область","3_1","Число погибших на 100 пострадавших","4,525071341"
"54. Оренбургская область","3_1","Количество ДТП с пострадавшими",548
"54. Оренбургская область","3_1","Количество лиц, погибших в результате ДТП",95
"54. Оренбургская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",715
"54. Оренбургская область","3_1","Число погибших на 100 пострадавших","11,72839506"
"55. Пензенская область","3_1","Количество ДТП с пострадавшими",690
"55. Пензенская область","3_1","Количество лиц, погибших в результате ДТП",84
"55. Пензенская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",956
"55. Пензенская область","3_1","Число погибших на 100 пострадавших","8,076923077"
"56. Пермский край","3_1","Количество ДТП с пострадавшими",833
"56. Пермский край","3_1","Количество лиц, погибших в результате ДТП",91
"56. Пермский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1021
"56. Пермский край","3_1","Число погибших на 100 пострадавших","8,183453237"
"57. Самарская область","3_1","Количество ДТП с пострадавшими",1242
"57. Самарская область","3_1","Количество лиц, погибших в результате ДТП",122
"57. Самарская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1692
"57. Самарская область","3_1","Число погибших на 100 пострадавших","6,725468578"
"58. Саратовская область","3_1","Количество ДТП с пострадавшими",1088
"58. Саратовская область","3_1","Количество лиц, погибших в результате ДТП",111
"58. Саратовская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1402
"58. Саратовская область","3_1","Число погибших на 100 пострадавших","7,336417713"
"59. Ульяновская область","3_1","Количество ДТП с пострадавшими",395
"59. Ульяновская область","3_1","Количество лиц, погибших в результате ДТП",42
"59. Ульяновская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",538
"59. Ульяновская область","3_1","Число погибших на 100 пострадавших","7,24137931"
"Уральский фед.округ","3_1","Количество ДТП с пострадавшими",4970
"Уральский фед.округ","3_1","Количество лиц, погибших в результате ДТП",437
"Уральский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",6300
"Уральский фед.округ","3_1","Число погибших на 100 пострадавших","6,486566721"
"60. Курганская область","3_1","Количество ДТП с пострадавшими",330
"60. Курганская область","3_1","Количество лиц, погибших в результате ДТП",39
"60. Курганская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",393
"60. Курганская область","3_1","Число погибших на 100 пострадавших","9,027777778"
"61. Свердловская область","3_1","Количество ДТП с пострадавшими",1227
"61. Свердловская область","3_1","Количество лиц, погибших в результате ДТП",135
"61. Свердловская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1534
"61. Свердловская область","3_1","Число погибших на 100 пострадавших","8,088675854"
"62. Тюменская область (с а/о)","3_1","Количество ДТП с пострадавшими",1881
"62. Тюменская область (с а/о)","3_1","Количество лиц, погибших в результате ДТП",136
"62. Тюменская область (с а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",2487
"62. Тюменская область (с а/о)","3_1","Число погибших на 100 пострадавших","5,184902783"
"63.   Тюменская обл. (без а/о)","3_1","Количество ДТП с пострадавшими",1270
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, погибших в результате ДТП",74
"63.   Тюменская обл. (без а/о)","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1641
"63.   Тюменская обл. (без а/о)","3_1","Число погибших на 100 пострадавших","4,314868805"
"64.   Ханты-Мансийский АО - Югра","3_1","Количество ДТП с пострадавшими",497
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, погибших в результате ДТП",45
"64.   Ханты-Мансийский АО - Югра","3_1","Количество лиц, получивших ранения в результате совершения ДТП",716
"64.   Ханты-Мансийский АО - Югра","3_1","Число погибших на 100 пострадавших","5,913272011"
"65.   Ямало-Ненецкий АО","3_1","Количество ДТП с пострадавшими",114
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, погибших в результате ДТП",17
"65.   Ямало-Ненецкий АО","3_1","Количество лиц, получивших ранения в результате совершения ДТП",130
"65.   Ямало-Ненецкий АО","3_1","Число погибших на 100 пострадавших","11,56462585"
"66. Челябинская область","3_1","Количество ДТП с пострадавшими",1532
"66. Челябинская область","3_1","Количество лиц, погибших в результате ДТП",127
"66. Челябинская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1886
"66. Челябинская область","3_1","Число погибших на 100 пострадавших","6,308991555"
"Сибирский фед.округ","3_1","Количество ДТП с пострадавшими",7148
"Сибирский фед.округ","3_1","Количество лиц, погибших в результате ДТП",685
"Сибирский фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",9095
"Сибирский фед.округ","3_1","Число погибших на 100 пострадавших","7,00408998"
"67. Республика Алтай","3_1","Количество ДТП с пострадавшими",143
"67. Республика Алтай","3_1","Количество лиц, погибших в результате ДТП",11
"67. Республика Алтай","3_1","Количество лиц, получивших ранения в результате совершения ДТП",189
"67. Республика Алтай","3_1","Число погибших на 100 пострадавших","5,5"
"69. Республика Тыва","3_1","Количество ДТП с пострадавшими",200
"69. Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",31
"69. Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",267
"69. Республика Тыва","3_1","Число погибших на 100 пострадавших","10,40268456"
"70. Республика Хакасия","3_1","Количество ДТП с пострадавшими",230
"70. Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",24
