"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - май 2024 г.)"
"Республика Алтай","3_1","Число погибших на 100 пострадавших","6,493506494"
"Республика Тыва","3_1","Количество ДТП с пострадавшими",150
"Республика Тыва","3_1","Количество лиц, погибших в результате ДТП",23
"Республика Тыва","3_1","Количество лиц, получивших ранения в результате совершения ДТП",202
"Республика Тыва","3_1","Число погибших на 100 пострадавших","10,22222222"
"Республика Хакасия","3_1","Количество ДТП с пострадавшими",177
"Республика Хакасия","3_1","Количество лиц, погибших в результате ДТП",15
"Республика Хакасия","3_1","Количество лиц, получивших ранения в результате совершения ДТП",222
"Республика Хакасия","3_1","Число погибших на 100 пострадавших","6,329113924"
"Алтайский край","3_1","Количество ДТП с пострадавшими",798
"Алтайский край","3_1","Количество лиц, погибших в результате ДТП",72
"Алтайский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1051
"Алтайский край","3_1","Число погибших на 100 пострадавших","6,411398041"
"Красноярский край","3_1","Количество ДТП с пострадавшими",992
"Красноярский край","3_1","Количество лиц, погибших в результате ДТП",85
"Красноярский край","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1193
"Красноярский край","3_1","Число погибших на 100 пострадавших","6,651017214"
"Иркутская область","3_1","Количество ДТП с пострадавшими",747
"Иркутская область","3_1","Количество лиц, погибших в результате ДТП",91
"Иркутская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",909
"Иркутская область","3_1","Число погибших на 100 пострадавших","9,1"
"Кемеровская область - Кузбасс","3_1","Количество ДТП с пострадавшими",758
"Кемеровская область - Кузбасс","3_1","Количество лиц, погибших в результате ДТП",95
"Кемеровская область - Кузбасс","3_1","Количество лиц, получивших ранения в результате совершения ДТП",951
"Кемеровская область - Кузбасс","3_1","Число погибших на 100 пострадавших","9,082217973"
"Новосибирская область","3_1","Количество ДТП с пострадавшими",803
"Новосибирская область","3_1","Количество лиц, погибших в результате ДТП",79
"Новосибирская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1006
"Новосибирская область","3_1","Число погибших на 100 пострадавших","7,281105991"
"Омская область","3_1","Количество ДТП с пострадавшими",900
"Омская область","3_1","Количество лиц, погибших в результате ДТП",44
"Омская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",1129
"Омская область","3_1","Число погибших на 100 пострадавших","3,751065644"
"Томская область","3_1","Количество ДТП с пострадавшими",159
"Томская область","3_1","Количество лиц, погибших в результате ДТП",25
"Томская область","3_1","Количество лиц, получивших ранения в результате совершения ДТП",185
"Томская область","3_1","Число погибших на 100 пострадавших","11,9047619"
"Дальневосточный фед.округ","3_1","Количество ДТП с пострадавшими",2998
"Дальневосточный фед.округ","3_1","Количество лиц, погибших в результате ДТП",358
"Дальневосточный фед.округ","3_1","Количество лиц, получивших ранения в результате совершения ДТП",3778
